FuncNo #	Description

1000	Handles user authentication. Receives a username and password, and returns a flag indicating whether authentication was successful.
1001	Gets information about the mobile network status, including signal strength, network mode, and connection status.
1002	Gets the IP address, subnet mask, DNS server addresses, and SSID of the Wi-Fi network.
1003	Gets information about mobile data usage, including bytes sent and received.
1004	Enables or disables the mobile data connection.
1005	Sets the preferred network mode (2G/3G/4G/etc.).
1006	Gets the Wi-Fi connection status, including the SSID, number of connected clients, and MAC address.
1007	Sets the SSID and maximum number of stations for the Wi-Fi network.
1008	Reboots the Wi-Fi access point.
1009	Gets the security settings for the Wi-Fi network, including the encryption type and password.
1010	Sets the encryption type and password for the Wi-Fi network.
1011	Gets the Wi-Fi network settings, including IP address, DNS server addresses, and DHCP address range.
1012	Resets the device.
1013	Restore the device to factory settings.
1014	Gets information about the SIM card, including status, IMSI, and ICCID.
1015	Gets the current APN settings.
1016	Adds a new APN setting.
1017	Configures the current APN.
1018	Changes the password to access the web interface.
1019	Gets the status of USB debugging mode.
1020	Enables or disables USB debugging mode.
1021	Gets information about data usage, including bytes sent and received.
1022	Resets the device.
1023	Configures the SSID and password for the Wi-Fi network in client mode.
1024	Gets the DHCP address range settings for the Wi-Fi network.
1025	Gets the list of clients connected to the Wi-Fi network.
1026	Removes a client from the Wi-Fi network.
1027	Gets the MAC address filtering settings for the Wi-Fi network.
1028	Configure the MAC address filtering type for the Wi-Fi network.
1029	Add a MAC address to the filtering list.
1030	Confirm changes to the MAC address filtering settings.
1031	Reboot the device into bootloader.
1032	Configure the device's USB mode.
1033	Configure the device's IMEI.
1500	Update the device's firmware.
1501	Delete the firmware update file.
1502	Get information about the device, including the device name and software version.
1600	Send an SMS message.
1601	Get the list of SMS messages.
1602	Delete an SMS message.
1700	Configure the device's time zone.
1800	Configure the device's hostname.
1801	Configure the device's static IP address, subnet mask, and default gateway.
1802	Configure the device's DNS server addresses.
1900	Get the SIM card PIN status.
1901	Check the SIM card PIN.
1902	Change the SIM card PIN.
1903	Unlock the SIM card PIN.
2000	Get the port forwarding settings.
2001	Add a new port forwarding rule.
2002	Deletes a port forwarding rule.
2100	Gets DMZ settings.
2101	Enables or disables DMZ.
2102	Sets DMZ IP address.
2200	Gets Dynamic DNS settings.
2201	Enables or disables Dynamic DNS.
2202	Sets Dynamic DNS hostname.
2300	Gets UPnP settings.
2301	Enables or disables UPnP.
2400	Gets battery information.
2500	Sets screen brightness.
2600	Turns GPS on or off.
2700	Gets GPS settings.
2800	Sets GPS settings.
2900	Gets proxy settings.
2901	Sets proxy settings.
3000	Gets network mode.
3001	Sets network mode.
3100	Gets data roaming settings.
3101	Enables or disables data roaming.
3200	Gets guest network settings.
3201	Enables or disables guest network.
3202	Configures guest network.
3300	Gets firewall settings.
3301	Configures firewall.
3400	Gets SMS settings.
3401	Configure SMS settings.
3500	Get the airplane mode status.
3501	Enable or disable airplane mode.
3600	Get the list of USB devices.
3601	Turn on or off USB mass storage.
3700	Make a phone call.
3701	Answer a phone call.
3702	End a phone call.
3800	Get the audio settings.
3801	Adjust the speaker volume.
3802	Adjust the microphone volume.
3900	Get the system date and time.
3901	Set the system date and time.
4000	Get the Wi-Fi Direct settings.
4001	Enable or disable Wi-Fi Direct.
4100	Get the Wi-Fi sleep mode settings.
4101	Set the Wi-Fi sleep mode.
4200	Get the WPS settings.
4201	Enable or disable WPS.
4300	Get the data connection status.
4301	Set the data connection status.
4400	Get the advanced network settings.
4401	Configure the advanced network settings.
4500	Get the screen timeout.
4501	Set the screen timeout.
4600	Get the power save settings
4601	Enables or disables power saving.
4700	Gets VPN settings.
4701	Adds a new VPN setting.
4702	Deletes a VPN setting.
4800	Gets firewall settings.
4801	Configures firewall.
4900	Gets LED indicator settings.
4901	Configures indicator settings
5000	Gets data-only mode settings.
5001	Enables or disables data-only mode.
5100	Gets home screen settings.
5101	Sets home screen settings.
5200	Gets screen saver settings.
5201	Configures screen saver.
5300	Gets Wi-Fi auto-connect settings.
5301	Enables or disables Wi-Fi auto-connect.
5400	Gets band selection mode settings.
5401	Configures band selection mode.
5500	Gets 2.4G Wi-Fi network settings.
5501	Enables or disables 2.4G Wi-Fi network.
5600	Gets 5G Wi-Fi network settings.
5601	Enable or disable 5G Wi-Fi.
5700	Get the Preferred network band selection settings.
5701	Configure the Preferred network band selection.
5800	Get the sleep mode settings.
5801	Configure the sleep mode.
5900	Get the automatic time zone settings.
5901	Enable or disable the automatic time zone.
6000	Get the time format settings.
6001	Configure the time format.
6100	Get the SIM lock settings.
6101	Enable or disable the SIM lock.
6200	Get the call forwarding settings.
6201	Configure call forwarding.
6300	Get the voicemail settings.
6301	Configure the voicemail.
6400	Get the notification settings.
6401	Configure the notifications.
6500	Get the display settings.
6501	Configure the display settings.
6600	Get the security settings.
6601	Configure the security settings.
6700	Get the application settings.
6701	Configure the application settings.
6800	Get the account settings.
6801	Configure the account settings.
6900	Gets accessibility settings.
6901	Configures accessibility settings.
7000	Gets storage settings.
7001	Configures storage settings.
7100	Gets language settings.
7101	Configures language settings.
7200	Gets backup settings.
7201	Configures backup settings.
7300	Gets date and time settings.
7301	Configures date and time.
7400	Gets mobile network settings.
7401	Configures mobile network.
7500	Gets Wi-Fi hotspot settings.
